# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2014-01-15 15:46:30.099023, init, 
2014-01-15 15:46:30.111714, lstn_init,  1 
2014-01-15 15:46:31.099979, lstn_init,  1 
2014-01-15 15:46:32.073429, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-01-15 15:46:32.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-01-15 15:46:33.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  64.222561682,  0.000000000,  64.222561682, 0, 0, S
2014-01-15 15:46:34.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.053900244,  64.222635996, -64.007035018,  64.222635996, 0, -1, D
2014-01-15 15:46:35.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.053900244,  64.118722446, -64.007035018,  64.172622690, 0, -1, S
2014-01-15 15:46:36.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.063016254,  63.938477532, -64.011842457,  64.012639999, 0, -3, D
2014-01-15 15:46:37.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.063016254,  63.938477532, -64.011842457,  64.012639999, 0, -3, D
2014-01-15 15:46:38.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.067413120,  64.075146680, -64.011099912,  64.142559800, 0, -4, S
2014-01-15 15:46:39.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.067413120,  64.095262844, -64.011099912,  64.162675964, 0, -4, S
2014-01-15 15:46:40.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.078929493,  64.103643360, -63.984313350,  64.182572853, 0, -5, S
2014-01-15 15:46:41.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.080625293,  64.131944056, -64.004518280,  64.212569349, 0, -6, S
2014-01-15 15:46:42.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.082806544,  64.049866098, -64.007047718,  64.132672642, 0, -7, S
2014-01-15 15:46:43.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.082698299,  63.929973976, -64.010431922,  64.012672275, 0, -8, S
2014-01-15 15:46:44.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.082698299,  64.099867886, -64.010431922,  64.182566185, 0, -8, S
2014-01-15 15:46:45.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.081685449,  64.120983710, -64.010476290,  64.202669159, 0, -9, S
2014-01-15 15:46:46.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.083796553,  64.120983710, -64.008715485,  64.202669159, 0, -11, D
2014-01-15 15:46:47.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.087264777,  64.045282097, -64.009125809,  64.132652318, 0, -14, D
2014-01-15 15:46:48.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.087264777,  64.085395450, -64.009125809,  64.172660227, 0, -14, S
2014-01-15 15:46:49.099979, slv, 001f3cfffe50bd93(unknown)/01,  0.086208600,  64.116427250, -64.010498186,  64.202635850, 0, -15, S
2014-01-15 15:45:46.167296, slv, 001f3cfffe50bd93(unknown)/01,  0.086376838,  63.936260835, -64.009196169,  64.022637673, 0, -16, S
2014-01-15 15:45:47.186303, slv, 001f3cfffe50bd93(unknown)/01,  0.020422477,  0.038994330, -0.082675591,  0.164365499, 0, -18, D
2014-01-15 15:45:48.217351, slv, 001f3cfffe50bd93(unknown)/01,  0.020422477,  0.115772907, -0.082675591,  0.173979631, 0, -18, S
2014-01-15 15:45:49.253322, slv, 001f3cfffe50bd93(unknown)/01,  0.023337544,  0.143959847, -0.150659084,  0.157700085, 0, -19, S
2014-01-15 15:45:50.291401, slv, 001f3cfffe50bd93(unknown)/01,  0.023337544,  0.153256191, -0.166583792,  0.195487386, 0, -20, S
2014-01-15 15:45:51.329491, slv, 001f3cfffe50bd93(unknown)/01,  0.023337544,  0.233222182, -0.223636499,  0.317632067, 0, -21, S
2014-01-15 15:45:52.360285, slv, 001f3cfffe50bd93(unknown)/01,  0.023226352,  0.346512200, -0.248936729,  0.421956231, 0, -22, S
2014-01-15 15:45:53.370027, slv, 001f3cfffe50bd93(unknown)/01,  0.030591760,  0.325796785, -0.279899622,  0.283455453, 0, -23, S
2014-01-15 15:45:54.365050, slv, 001f3cfffe50bd93(unknown)/01,  0.031853373,  0.250529973, -0.277912758,  0.280049628, 0, -24, S
2014-01-15 15:45:55.350496, slv, 001f3cfffe50bd93(unknown)/01,  0.031853373,  0.301156957, -0.277912758,  0.385971033, 0, -24, S
2014-01-15 15:45:56.320840, slv, 001f3cfffe50bd93(unknown)/01,  0.031937892,  0.349776148, -0.262071764,  0.377372528, 0, -25, S
2014-01-15 15:45:57.271665, slv, 001f3cfffe50bd93(unknown)/01,  0.037977923,  0.332543069, -0.204399353,  0.357629426, 0, -26, S
2014-01-15 15:45:58.203292, slv, 001f3cfffe50bd93(unknown)/01,  0.045367938,  0.203129818, -0.142210401,  0.131976073, 0, -27, S
