# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2014-01-15 16:12:39.385693, init, 
2014-01-15 16:12:39.396651, lstn_init,  1 
2014-01-15 16:12:40.274778, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-01-15 16:12:40.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-01-15 16:12:41.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.214349724,  0.000000000,  0.428699449, 0, 0, S
2014-01-15 16:12:42.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.036835184,  0.428731865, -0.281423545,  0.428764282, 0, -1, D
2014-01-15 16:12:43.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.036835184,  0.435305071, -0.281423545,  0.478681045, 0, -1, S
2014-01-15 16:12:44.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.073821416,  0.323358522, -0.280903538,  0.278692601, 0, -3, S
2014-01-15 16:12:45.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.073821416,  0.274868937, -0.280903538,  0.418688107, 0, -3, S
2014-01-15 16:12:46.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.076265008,  0.358654775, -0.282082471,  0.448707868, 0, -4, S
2014-01-15 16:12:47.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.076265008,  0.382433206, -0.282082471,  0.468688560, 0, -4, S
2014-01-15 16:12:48.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.077000327,  0.352068918, -0.285527768,  0.388714611, 0, -5, S
2014-01-15 16:12:49.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.076285756,  0.322092389, -0.281023773,  0.408756250, 0, -6, S
2014-01-15 16:12:50.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.073759610,  0.348717020, -0.282036103,  0.438723157, 0, -7, S
2014-01-15 16:12:51.386093, slv, 001f3cfffe50bd93(unknown)/01,  0.073408535,  0.375129838, -0.281639217,  0.458704666, 0, -8, S
