# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2014-01-17 11:21:57.236473, init, 
2014-01-17 11:21:57.249147, lstn_init,  1 
2014-01-17 11:21:57.318205, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-01-17 11:21:58.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  21.350056055,  0.000000000,  21.350056055, 0, 0, S
2014-01-17 11:21:59.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.001917975,  21.350141500, -21.342469598,  21.350141500, 0, -1, D
2014-01-17 11:22:00.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.001917975,  21.348187030, -21.342469598,  21.350105005, 0, -1, S
2014-01-17 11:22:01.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.002217236,  21.348187030, -21.351401940,  21.350105005, 0, -3, D
2014-01-17 11:22:02.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.002217236,  21.347911144, -21.351401940,  21.350128380, 0, -3, S
2014-01-17 11:22:03.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.002217236,  21.347898594, -21.350613380,  21.350115830, 0, -4, S
2014-01-17 11:22:04.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.002217236,  21.347898594, -21.350613380,  21.350115830, 0, -4, S
2014-01-17 11:22:05.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.007477035,  21.417903407, -21.350528193,  21.420120643, 0, -5, D
2014-01-17 11:22:06.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.017585151,  21.462658999, -21.348090481,  21.470136034, 0, -6, D
2014-01-17 11:22:07.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.029154013,  21.512566206, -21.350479033,  21.530151357, 0, -7, D
2014-01-17 11:22:08.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.040057722,  21.520901454, -21.351422693,  21.550055467, 0, -8, D
2014-01-17 11:22:09.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.040057722,  21.430000863, -21.351422693,  21.470058585, 0, -8, S
2014-01-17 11:22:10.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.046920048,  21.460023771, -21.346338228,  21.500081493, 0, -9, D
2014-01-17 11:22:11.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.050582365,  21.413173624, -21.348318285,  21.460093672, 0, -11, D
2014-01-17 11:22:12.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.061036289,  21.289098631, -21.349817936,  21.350134920, 0, -14, S
2014-01-17 11:22:13.237499, slv, 001f3cfffe50bd93(unknown)/01,  0.061036289,  21.289073273, -21.349817936,  21.350109562, 0, -14, S
2014-01-17 11:21:52.947616, slv, 001f3cfffe50bd93(unknown)/01,  0.060236466,  21.289890920, -21.347882077,  21.350127386, 0, -15, S
2014-01-17 11:21:53.948016, slv, 001f3cfffe50bd93(unknown)/01,  0.060236466,  21.289890920, -0.058777613,  21.350127386, 0, -16, D
2014-01-17 11:21:54.948400, slv, 001f3cfffe50bd93(unknown)/01,  0.018476951,  0.046471790, -0.058965632,  0.060981118, 0, -18, S
2014-01-17 11:21:55.948000, slv, 001f3cfffe50bd93(unknown)/01,  0.018476951,  0.042338705, -0.058965632,  0.060650195, 0, -18, S
2014-01-17 11:21:56.947600, slv, 001f3cfffe50bd93(unknown)/01,  0.018476951,  0.042338705, -0.061748972,  0.060650195, 0, -19, D
2014-01-17 11:21:57.947200, slv, 001f3cfffe50bd93(unknown)/01,  0.029878034,  0.120818682, -0.061156903,  0.069824888, 0, -20, S
2014-01-17 11:21:58.946816, slv, 001f3cfffe50bd93(unknown)/01,  0.058382492,  0.020503880,  0.346748039,  0.059443399, 0, -21, S
2014-01-17 11:21:59.947216, slv, 001f3cfffe50bd93(unknown)/01,  0.067706237,  0.020503880, -0.056011435,  0.059443399, 0, -22, D
2014-01-17 11:22:00.946904, slv, 001f3cfffe50bd93(unknown)/01,  0.061935360,  0.061617659, -0.060988689,  0.189880649, 0, -23, D
2014-01-17 11:22:01.946504, slv, 001f3cfffe50bd93(unknown)/01,  0.063073497,  0.071786168, -0.058752582,  0.059111271, 0, -24, S
2014-01-17 11:22:02.946120, slv, 001f3cfffe50bd93(unknown)/01,  0.063073497, -0.004154394, -0.058752582,  0.058726935, 0, -24, S
2014-01-17 11:22:03.946520, slv, 001f3cfffe50bd93(unknown)/01,  0.063073497, -0.004157285, -0.060022146,  0.059105488, 0, -25, S
2014-01-17 11:22:04.946920, slv, 001f3cfffe50bd93(unknown)/01,  0.063073497, -0.004157285, -0.060483266,  0.059105488, 0, -26, D
2014-01-17 11:22:05.946584, slv, 001f3cfffe50bd93(unknown)/01,  0.063041799,  0.046265517, -0.059010169,  0.159572540, 0, -27, D
2014-01-17 11:22:06.946184, slv, 001f3cfffe50bd93(unknown)/01,  0.063041799,  0.131273020, -0.059010169,  0.229088798, 0, -27, S
2014-01-17 11:22:07.945784, slv, 001f3cfffe50bd93(unknown)/01,  0.067120415,  0.175868674, -0.057683011,  0.248732150, 0, -29, D
2014-01-17 11:22:08.945384, slv, 001f3cfffe50bd93(unknown)/01,  0.068113118,  0.148476649, -0.057271902,  0.178383364, 0, -30, D
2014-01-17 11:22:09.944984, slv, 001f3cfffe50bd93(unknown)/01,  0.067831260,  0.120531103, -0.060100489,  0.197912377, 0, -31, D
2014-01-17 11:22:10.944584, slv, 001f3cfffe50bd93(unknown)/01,  0.068327050,  0.069314792, -0.058268912,  0.057224684, 0, -32, S
2014-01-17 11:22:11.944184, slv, 001f3cfffe50bd93(unknown)/01,  0.068327050,  0.069314792, -0.057538056,  0.057224684, 0, -33, D
2014-01-17 11:22:12.943784, slv, 001f3cfffe50bd93(unknown)/01,  0.068329234,  0.043265341, -0.058031893,  0.056409892, 0, -35, D
2014-01-17 11:22:13.943400, slv, 001f3cfffe50bd93(unknown)/01,  0.065746297, -0.010847934, -0.052205396,  0.055969770, 0, -36, S
2014-01-17 11:22:14.943800, slv, 001f3cfffe50bd93(unknown)/01,  0.061716253, -0.007501388, -0.055111863,  0.056490002, 0, -37, S
2014-01-17 11:22:15.944200, slv, 001f3cfffe50bd93(unknown)/01,  0.058143301, -0.003279669, -0.053443567,  0.056810212, 0, -39, S
