# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2014-01-22 17:55:30.406605, init, 
2014-01-22 17:55:30.418145, lstn_init,  1 
2014-01-22 17:55:31.407273, lstn_init,  1 
2014-01-22 17:55:31.523672, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-01-22 17:55:32.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-01-22 17:55:33.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  77.649836082,  0.000000000,  77.649836082, 0, 0, S
2014-01-22 17:55:34.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  77.649915933, -77.650996467,  77.649915933, 0, -1, S
2014-01-22 17:55:35.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.053380867,  77.789908623, -77.650977664,  77.789908623, 0, -3, D
2014-01-22 17:55:36.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.053380867,  77.596455471, -77.650977664,  77.649836338, 0, -3, S
2014-01-22 17:55:37.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.053097134,  77.666505519, -77.648698654,  77.719886386, 0, -4, D
2014-01-22 17:55:38.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.053097134,  77.706806255, -77.648698654,  77.759903389, 0, -4, S
2014-01-22 17:55:39.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.059493177,  77.836806028, -77.646365647,  77.889903162, 0, -5, D
2014-01-22 17:55:40.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.067906049,  77.750423709, -77.647224229,  77.809916886, 0, -6, D
2014-01-22 17:55:41.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.070804706,  77.762001514, -77.651408247,  77.829907563, 0, -7, D
2014-01-22 17:55:42.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.074614353,  77.789041915, -77.648456996,  77.859846621, 0, -8, D
2014-01-22 17:55:43.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.074614353,  77.705279000, -77.648456996,  77.779893353, 0, -8, S
2014-01-22 17:55:44.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.076531766,  77.725295210, -77.651484530,  77.799909563, 0, -9, D
2014-01-22 17:55:45.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.073296773,  77.683302516, -77.649921928,  77.759834282, 0, -11, D
2014-01-22 17:55:46.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.075774911,  77.776594554, -77.651421405,  77.849891327, 0, -13, D
2014-01-22 17:55:47.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.077586954,  77.572325200, -77.651035288,  77.649912154, 0, -14, S
2014-01-22 17:55:48.407273, slv, 001f3cfffe50bd93(unknown)/01,  0.078067814,  77.712308265, -77.651475233,  77.789895219, 0, -15, D
2014-01-22 17:54:31.664720, slv, 001f3cfffe50bd93(unknown)/01,  0.078067814,  77.741832841,  0.094479253,  77.819900655, 0, -16, D
2014-01-22 17:54:32.663720, slv, 001f3cfffe50bd93(unknown)/01,  0.030688772, -0.045450353,  0.094983595, -0.012832892, 0, -18, D
2014-01-22 17:54:33.664500, slv, 001f3cfffe50bd93(unknown)/01,  0.030688772, -0.107709854,  0.094983595, -0.093830231, 0, -18, S
2014-01-22 17:54:34.664000, slv, 001f3cfffe50bd93(unknown)/01,  0.039048264, -0.053947959,  0.093606445,  0.047311857, 0, -19, D
2014-01-22 17:54:35.663000, slv, 001f3cfffe50bd93(unknown)/01,  0.048059739,  0.021972289,  0.093088607,  0.066369758, 0, -20, D
2014-01-22 17:54:36.662000, slv, 001f3cfffe50bd93(unknown)/01,  0.056014415,  0.037303241,  0.096529406,  0.095344727, 0, -21, D
2014-01-22 17:54:37.661000, slv, 001f3cfffe50bd93(unknown)/01,  0.059184994,  0.002848367,  0.093851289,  0.014426161, 0, -22, D
2014-01-22 17:54:38.660000, slv, 001f3cfffe50bd93(unknown)/01,  0.059278276, -0.033697238,  0.097695682,  0.033378771, 0, -23, D
2014-01-22 17:54:39.659000, slv, 001f3cfffe50bd93(unknown)/01,  0.060997974, -0.011355934,  0.098696382,  0.062372630, 0, -24, D
2014-01-22 17:54:40.658000, slv, 001f3cfffe50bd93(unknown)/01,  0.060997974, -0.043235040,  0.098696382, -0.028566460, 0, -24, S
2014-01-22 17:54:41.658660, slv, 001f3cfffe50bd93(unknown)/01,  0.060461142, -0.095054482,  0.103143510, -0.039546557, 0, -25, D
2014-01-22 17:54:42.659660, slv, 001f3cfffe50bd93(unknown)/01,  0.059272544, -0.064738187,  0.099174452,  0.031529297, 0, -26, D
2014-01-22 17:54:43.660660, slv, 001f3cfffe50bd93(unknown)/01,  0.059272544, -0.092936658,  0.097373393, -0.097668929, 0, -27, D
2014-01-22 17:54:44.661660, slv, 001f3cfffe50bd93(unknown)/01,  0.059272544, -0.071356030,  0.097373393,  0.073501957, 0, -27, S
2014-01-22 17:54:45.661280, slv, 001f3cfffe50bd93(unknown)/01,  0.064832192,  0.029774169,  0.100640212,  0.104591471, 0, -29, D
2014-01-22 17:54:46.660280, slv, 001f3cfffe50bd93(unknown)/01,  0.066134632,  0.002105574,  0.098099581,  0.023724413, 0, -30, D
2014-01-22 17:54:47.659280, slv, 001f3cfffe50bd93(unknown)/01,  0.066228112, -0.027293882,  0.095294861,  0.052654646, 0, -31, D
2014-01-22 17:54:48.658280, slv, 001f3cfffe50bd93(unknown)/01,  0.067081591, -0.004038314,  0.096540289,  0.071631470, 0, -32, D
2014-01-22 17:54:49.657280, slv, 001f3cfffe50bd93(unknown)/01,  0.068449709,  0.014426915,  0.097182182,  0.090532063, 0, -33, D
2014-01-22 17:54:50.656280, slv, 001f3cfffe50bd93(unknown)/01,  0.068789920, -0.017658613,  0.098176148,  0.009682011, 0, -34, D
2014-01-22 17:54:51.657020, slv, 001f3cfffe50bd93(unknown)/01,  0.062733091, -0.109388798,  0.099733062, -0.091219978, 0, -36, D
2014-01-22 17:54:52.658020, slv, 001f3cfffe50bd93(unknown)/01,  0.061580672, -0.081418500,  0.099539150,  0.059905989, 0, -37, D
2014-01-22 17:54:53.657620, slv, 001f3cfffe50bd93(unknown)/01,  0.064496220,  0.013256355,  0.100186106,  0.090920485, 0, -39, D
2014-01-22 17:54:54.658240, slv, 001f3cfffe50bd93(unknown)/01,  0.064496220, -0.067536297,  0.100186106, -0.099916187, 0, -39, S
2014-01-22 17:54:55.659240, slv, 001f3cfffe50bd93(unknown)/01,  0.065244193, -0.098935389,  0.098670291,  0.031037847, 0, -40, D
2014-01-22 17:54:56.658780, slv, 001f3cfffe50bd93(unknown)/01,  0.065244193, -0.023286187,  0.098670291,  0.052130190, 0, -40, S
2014-01-22 17:54:57.659400, slv, 001f3cfffe50bd93(unknown)/01,  0.064637487, -0.048567996,  0.096656384, -0.018777798, 0, -41, D
2014-01-22 17:54:58.659020, slv, 001f3cfffe50bd93(unknown)/01,  0.064637487, -0.023186280,  0.096656384,  0.102286917, 0, -41, S
2014-01-22 17:54:59.659780, slv, 001f3cfffe50bd93(unknown)/01,  0.060361083, -0.057740411,  0.095686959, -0.088492765, 0, -43, D
2014-01-22 17:55:00.660780, slv, 001f3cfffe50bd93(unknown)/01,  0.059372381, -0.090428469,  0.102745614,  0.032634396, 0, -44, D
2014-01-22 17:55:01.661780, slv, 001f3cfffe50bd93(unknown)/01,  0.059636468, -0.091881851,  0.096940321, -0.096400548, 0, -45, S
2014-01-22 17:55:02.662780, slv, 001f3cfffe50bd93(unknown)/01,  0.059636468, -0.155602660,  0.093790824, -0.095531836, 0, -47, D
2014-01-22 17:55:03.663780, slv, 001f3cfffe50bd93(unknown)/01,  0.059636468, -0.154640204,  0.093790824, -0.094475636, 0, -47, S
2014-01-22 17:55:04.664780, slv, 001f3cfffe50bd93(unknown)/01,  0.060471281, -0.083574618,  0.090743563,  0.046599336, 0, -50, D
2014-01-22 17:55:05.664340, slv, 001f3cfffe50bd93(unknown)/01,  0.061794296,  0.002086080,  0.093290751,  0.077680574, 0, -52, D
2014-01-22 17:55:06.663340, slv, 001f3cfffe50bd93(unknown)/01,  0.062568112,  0.001037074,  0.089718031,  0.046659151, 0, -54, D
2014-01-22 17:55:07.662340, slv, 001f3cfffe50bd93(unknown)/01,  0.062568112, -0.030963522,  0.089718031,  0.015776211, 0, -54, S
2014-01-22 17:55:08.661340, slv, 001f3cfffe50bd93(unknown)/01,  0.071759549,  0.017593740,  0.264955278,  0.144547492, 0, -56, D
2014-01-22 17:55:09.660340, slv, 001f3cfffe50bd93(unknown)/01,  0.078844906,  0.031949807,  0.277318536,  0.053679782, 0, -57, D
2014-01-22 17:55:10.659340, slv, 001f3cfffe50bd93(unknown)/01,  0.084578061, -0.007159028,  0.268696684,  0.082606617, 0, -58, D
2014-01-22 17:55:11.660020, slv, 001f3cfffe50bd93(unknown)/01,  0.085566885, -0.064500958,  0.098479288, -0.048185566, 0, -59, D
2014-01-22 17:55:12.659760, slv, 001f3cfffe50bd93(unknown)/01,  0.087847927, -0.027659835,  0.093807904,  0.163010842, 0, -61, D
2014-01-22 17:55:13.660540, slv, 001f3cfffe50bd93(unknown)/01,  0.090445705, -0.055365279,  0.097465693, -0.097728809, 0, -65, D
2014-01-22 17:55:14.661540, slv, 001f3cfffe50bd93(unknown)/01,  0.090445705, -0.097606957,  0.097465693,  0.083406304, 0, -65, S
2014-01-22 17:55:15.662540, slv, 001f3cfffe50bd93(unknown)/01,  0.091663310, -0.097244585,  0.091612911, -0.095786460, 0, -67, D
2014-01-22 17:55:16.663540, slv, 001f3cfffe50bd93(unknown)/01,  0.091663310, -0.126851696,  0.091612911,  0.025409687, 0, -67, S
2014-01-22 17:55:17.664540, slv, 001f3cfffe50bd93(unknown)/01,  0.090546574, -0.125307022,  0.090893754, -0.093813848, 0, -68, S
2014-01-22 17:55:18.665540, slv, 001f3cfffe50bd93(unknown)/01,  0.089349443, -0.098755962,  0.091871422,  0.077395071, 0, -69, D
2014-01-22 17:55:19.665160, slv, 001f3cfffe50bd93(unknown)/01,  0.089541288,  0.002991663,  0.091925191,  0.108484271, 0, -70, D
2014-01-22 17:55:20.664160, slv, 001f3cfffe50bd93(unknown)/01,  0.088958678, -0.021416556,  0.092895355,  0.027573348, 0, -71, D
2014-01-22 17:55:21.664940, slv, 001f3cfffe50bd93(unknown)/01,  0.088958678, -0.122135658,  0.092895355, -0.093344699, 0, -71, S
2014-01-22 17:55:22.665940, slv, 001f3cfffe50bd93(unknown)/01,  0.087923952, -0.096766468,  0.091414523,  0.077729117, 0, -72, D
2014-01-22 17:55:23.665540, slv, 001f3cfffe50bd93(unknown)/01,  0.087923952, -0.000136001,  0.091414523,  0.098881511, 0, -72, S
2014-01-22 17:55:24.666120, slv, 001f3cfffe50bd93(unknown)/01,  0.086631365, -0.034509341,  0.091878900,  0.007947711, 0, -73, D
2014-01-22 17:55:25.667120, slv, 001f3cfffe50bd93(unknown)/01,  0.084947954, -0.058811307,  0.089975609,  0.048984990, 0, -74, D
2014-01-22 17:55:26.666660, slv, 001f3cfffe50bd93(unknown)/01,  0.084293431, -0.026289512,  0.088926534,  0.070015303, 0, -75, D
2014-01-22 17:55:27.667440, slv, 001f3cfffe50bd93(unknown)/01,  0.083965151, -0.094889852,  0.087244247, -0.090881903, 0, -77, D
2014-01-22 17:55:28.668440, slv, 001f3cfffe50bd93(unknown)/01,  0.083965151, -0.174315393,  0.087730095, -0.089818581, 0, -78, S
2014-01-22 17:55:29.669440, slv, 001f3cfffe50bd93(unknown)/01,  0.082001188, -0.108227591,  0.088978745,  0.041293701, 0, -80, D
2014-01-22 17:55:30.670440, slv, 001f3cfffe50bd93(unknown)/01,  0.082001188, -0.031166403,  0.088978745,  0.062339831, 0, -80, S
2014-01-22 17:55:31.670020, slv, 001f3cfffe50bd93(unknown)/01,  0.081740977, -0.004177357,  0.087771063,  0.093307830, 0, -81, D
2014-01-22 17:55:32.669020, slv, 001f3cfffe50bd93(unknown)/01,  0.081740977,  0.020918235,  0.087771063,  0.112270806, 0, -81, S
2014-01-22 17:55:33.668020, slv, 001f3cfffe50bd93(unknown)/01,  0.079151507, -0.019889851,  0.086396000,  0.011431446, 0, -83, D
2014-01-22 17:55:34.668740, slv, 001f3cfffe50bd93(unknown)/01,  0.076185636, -0.104482281,  0.088466481, -0.059503526, 0, -84, D
2014-01-22 17:55:35.669740, slv, 001f3cfffe50bd93(unknown)/01,  0.075037769, -0.066594733,  0.086345154,  0.081651203, 0, -86, D
2014-01-22 17:55:36.670740, slv, 001f3cfffe50bd93(unknown)/01,  0.075037769, -0.078585841,  0.086345154, -0.087599479, 0, -86, S
2014-01-22 17:55:37.671740, slv, 001f3cfffe50bd93(unknown)/01,  0.075037769, -0.162120769,  0.084362466, -0.086566522, 0, -87, S
2014-01-22 17:55:38.672740, slv, 001f3cfffe50bd93(unknown)/01,  0.075139746, -0.091000547,  0.084040338,  0.054640964, 0, -88, D
2014-01-22 17:55:39.672300, slv, 001f3cfffe50bd93(unknown)/01,  0.075131602, -0.009974739,  0.085769459,  0.075587073, 0, -89, D
2014-01-22 17:55:40.672900, slv, 001f3cfffe50bd93(unknown)/01,  0.072398388, -0.034976552,  0.080866099,  0.004731171, 0, -91, D
2014-01-22 17:55:41.673900, slv, 001f3cfffe50bd93(unknown)/01,  0.069803624, -0.058530728,  0.083167856,  0.025737362, 0, -93, D
2014-01-22 17:55:42.674900, slv, 001f3cfffe50bd93(unknown)/01,  0.069803624, -0.034874381,  0.083167856,  0.046715887, 0, -93, S
2014-01-22 17:55:43.674440, slv, 001f3cfffe50bd93(unknown)/01,  0.069629451, -0.007576441,  0.081423817,  0.077738478, 0, -94, D
2014-01-22 17:55:44.673440, slv, 001f3cfffe50bd93(unknown)/01,  0.070413344,  0.012538873,  0.082752374,  0.086772343, 0, -95, D
2014-01-22 17:55:45.672440, slv, 001f3cfffe50bd93(unknown)/01,  0.073901133,  0.036219752,  0.082313827,  0.125709956, 0, -97, D
2014-01-22 17:55:46.673200, slv, 001f3cfffe50bd93(unknown)/01,  0.073901133, -0.051862220,  0.082313827, -0.085119919, 0, -97, S
2014-01-22 17:55:47.674200, slv, 001f3cfffe50bd93(unknown)/01,  0.074805575, -0.083417316,  0.079377532,  0.066087552, 0, -98, D
2014-01-22 17:55:48.673780, slv, 001f3cfffe50bd93(unknown)/01,  0.074805575,  0.007242902,  0.079377532,  0.097104960, 0, -98, S
2014-01-22 17:55:49.672780, slv, 001f3cfffe50bd93(unknown)/01,  0.075457738,  0.031798058,  0.079393394,  0.116102307, 0, -99, D
2014-01-22 17:55:50.671780, slv, 001f3cfffe50bd93(unknown)/01,  0.074555017,  0.000506537,  0.084351225,  0.035174080, 0, -101, D
2014-01-22 17:55:51.672260, slv, 001f3cfffe50bd93(unknown)/01,  0.074082470, -0.025384342,  0.084381842,  0.064069991, 0, -102, D
2014-01-22 17:55:52.671820, slv, 001f3cfffe50bd93(unknown)/01,  0.074082470,  0.000303550,  0.084381842,  0.085174597, 0, -102, S
2014-01-22 17:55:53.672600, slv, 001f3cfffe50bd93(unknown)/01,  0.074392891, -0.074506414,  0.082570468, -0.085712064, 0, -103, S
2014-01-22 17:55:54.673600, slv, 001f3cfffe50bd93(unknown)/01,  0.074151852, -0.099529301,  0.078960803,  0.035439242, 0, -104, D
2014-01-22 17:55:55.674600, slv, 001f3cfffe50bd93(unknown)/01,  0.074151852, -0.078372068,  0.078960803, -0.043638637, 0, -104, S
2014-01-22 17:55:56.675600, slv, 001f3cfffe50bd93(unknown)/01,  0.071884285, -0.136197577,  0.080721740, -0.082720382, 0, -105, S
2014-01-22 17:55:57.676600, slv, 001f3cfffe50bd93(unknown)/01,  0.071884285, -0.058988658,  0.080721740,  0.108511636, 0, -105, S
2014-01-22 17:55:58.677600, slv, 001f3cfffe50bd93(unknown)/01,  0.070900784, -0.057453027,  0.078998376, -0.080632621, 0, -106, S
2014-01-22 17:55:59.678600, slv, 001f3cfffe50bd93(unknown)/01,  0.070900784, -0.151056534,  0.078283234, -0.079678880, 0, -108, D
2014-01-22 17:56:00.679600, slv, 001f3cfffe50bd93(unknown)/01,  0.070900784, -0.069984850,  0.078283234,  0.081510748, 0, -108, S
2014-01-22 17:56:01.680600, slv, 001f3cfffe50bd93(unknown)/01,  0.071872395, -0.069485265,  0.076765532, -0.077708099, 0, -109, S
2014-01-22 17:56:02.681600, slv, 001f3cfffe50bd93(unknown)/01,  0.072924665, -0.048989006,  0.073083772,  0.123474877, 0, -110, D
2014-01-22 17:56:03.681080, slv, 001f3cfffe50bd93(unknown)/01,  0.072924665,  0.016549908,  0.073083772,  0.054421999, 0, -110, S
2014-01-22 17:56:04.680080, slv, 001f3cfffe50bd93(unknown)/01,  0.073720004, -0.009017245,  0.072648944,  0.073392842, 0, -111, D
2014-01-22 17:56:05.679080, slv, 001f3cfffe50bd93(unknown)/01,  0.073720004,  0.009590791,  0.072648944,  0.092433411, 0, -111, S
2014-01-22 17:56:06.679700, slv, 001f3cfffe50bd93(unknown)/01,  0.072671303, -0.026746823,  0.080208507,  0.001512952, 0, -112, D
2014-01-22 17:56:07.680700, slv, 001f3cfffe50bd93(unknown)/01,  0.068144946, -0.076180556,  0.071877293, -0.007482758, 0, -114, D
2014-01-22 17:56:08.681700, slv, 001f3cfffe50bd93(unknown)/01,  0.068144946, -0.112432218,  0.073852131, -0.076565431, 0, -115, D
