# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2014-02-10 12:58:26.027699, init, 
2014-02-10 12:58:26.030141, lstn_init,  1 
2014-02-10 12:58:27.028457, lstn_init,  1 
2014-02-10 12:58:27.854379, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-02-10 12:58:28.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-02-10 12:58:29.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2014-02-10 12:58:30.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.000000000,  557.822234033,  0.000000000,  557.822234033, 0, 0, S
2014-02-10 12:58:31.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.085109956,  557.759102242, -557.481794208,  557.844212198, 0, -1, S
2014-02-10 12:58:32.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.081856199,  557.593366162, -557.696680308,  557.697276056, 0, -3, D
2014-02-10 12:58:33.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.081856199,  557.810361607, -557.696680308,  557.892217806, 0, -3, S
2014-02-10 12:58:34.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.073805466,  557.739392814, -557.694200479,  557.813198280, 0, -4, S
2014-02-10 12:58:35.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.073805466,  557.764423860, -557.694200479,  557.838229326, 0, -4, S
2014-02-10 12:58:36.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.076142888,  557.785093150, -557.694276323,  557.861236038, 0, -5, S
2014-02-10 12:58:37.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.076407289,  557.620802673, -557.694271823,  557.697209962, 0, -6, S
2014-02-10 12:58:38.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.071557453,  557.735656081, -557.694340426,  557.807213534, 0, -7, S
2014-02-10 12:58:39.028457, slv, 001f3cfffe50bd93(unknown)/01,  0.066226763,  557.634009154, -557.694435304,  557.700235917, 0, -8, S
