ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-11 10:02:21.063817, init, 
2013-09-11 10:02:21.127403, lstn_init,  1 
2013-09-11 10:02:21.495176, slv, 406c8ffffe15d361(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2013-09-11 10:02:23.441357, slv, 406c8ffffe15d361(unknown)/01,  0.000173750, -7.246793000,  7.247488000, -7.246793000, 0, -1, D
2013-09-11 10:02:25.066258, slv, 406c8ffffe15d361(unknown)/01,  0.000258500, -7.247081750,  7.247586000, -7.246908000, 0, -2, D
2013-09-11 10:02:26.066092, slv, 406c8ffffe15d361(unknown)/01,  0.000266166, -7.247261500,  7.247451000, -7.247003000, 0, -3, D
2013-09-11 10:02:26.565069, slv, 406c8ffffe15d361(unknown)/01,  0.000267624, -7.247285166,  7.247659000, -7.247019000, 0, -4, D
2013-09-11 10:02:27.066220, slv, 406c8ffffe15d361(unknown)/01,  0.000283299, -7.247285166,  7.247763000, -7.247019000, 0, -5, D
2013-09-11 10:02:28.190617, slv, 406c8ffffe15d361(unknown)/01,  0.000291040, -7.247396299,  7.247688000, -7.247113000, 0, -6, D
2013-09-11 10:02:28.378699, slv, 406c8ffffe15d361(unknown)/01,  0.000293426, -7.247396299,  7.247769000, -7.247113000, 0, -7, D
2013-09-11 10:02:29.190810, slv, 406c8ffffe15d361(unknown)/01,  0.000301309, -7.247413426,  7.247890000, -7.247120000, 0, -8, D
2013-09-11 10:02:30.066116, slv, 406c8ffffe15d361(unknown)/01,  0.000301024, -7.247515309,  7.247639000, -7.247214000, 0, -9, D
2013-09-11 10:02:31.066333, slv, 406c8ffffe15d361(unknown)/01,  0.000297221, -7.247604024,  7.247930000, -7.247303000, 0, -10, D
2013-09-11 10:02:32.191318, slv, 406c8ffffe15d361(unknown)/01,  0.000300381, -7.247538221,  7.247942000, -7.247241000, 0, -11, D
