ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-11 11:56:05.374298, init, 
2013-09-11 11:56:05.439008, lstn_init,  1 
2013-09-11 11:56:07.368075, slv, 406c8ffffe15d361(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2013-09-11 11:56:08.368246, slv, 406c8ffffe15d361(unknown)/01,  0.000000000, -6.441044000,  0.000000000, -6.441044000, 0, 0, S
2013-09-11 11:56:09.315228, slv, 406c8ffffe15d361(unknown)/01,  0.000163500, -6.441044000,  6.441698000, -6.441044000, 0, -1, D
2013-09-11 11:56:09.367810, slv, 406c8ffffe15d361(unknown)/01,  0.000163500, -6.441162500,  6.441698000, -6.440999000, 0, -1, S
2013-09-11 11:56:11.940109, slv, 406c8ffffe15d361(unknown)/01,  0.000263875, -6.441162500,  6.441802000, -6.440999000, 0, -2, D
2013-09-11 11:56:12.368150, slv, 406c8ffffe15d361(unknown)/01,  0.000263875, -6.441465875,  6.441802000, -6.441202000, 0, -2, S
2013-09-11 11:56:12.439923, slv, 406c8ffffe15d361(unknown)/01,  0.000289916, -6.441465875,  6.441767000, -6.441202000, 0, -3, D
2013-09-11 11:56:12.940127, slv, 406c8ffffe15d361(unknown)/01,  0.000295749, -6.441465875,  6.441890000, -6.441202000, 0, -4, D
2013-09-11 11:56:13.367602, slv, 406c8ffffe15d361(unknown)/01,  0.000295749, -6.441522749,  6.441890000, -6.441227000, 0, -4, S
2013-09-11 11:56:14.064328, slv, 406c8ffffe15d361(unknown)/01,  0.000305299, -6.441522749,  6.441913000, -6.441227000, 0, -5, D
2013-09-11 11:56:14.252684, slv, 406c8ffffe15d361(unknown)/01,  0.000314206, -6.441522749,  6.441976000, -6.441227000, 0, -6, D
2013-09-11 11:56:14.367198, slv, 406c8ffffe15d361(unknown)/01,  0.000314206, -6.441620206,  6.441976000, -6.441306000, 0, -6, S
2013-09-11 11:56:15.065223, slv, 406c8ffffe15d361(unknown)/01,  0.000323640, -6.441620206,  6.442078000, -6.441306000, 0, -7, D
2013-09-11 11:56:15.367211, slv, 406c8ffffe15d361(unknown)/01,  0.000323640, -6.441666640,  6.442078000, -6.441343000, 0, -7, S
2013-09-11 11:56:15.940170, slv, 406c8ffffe15d361(unknown)/01,  0.000331903, -6.441666640,  6.442130000, -6.441343000, 0, -8, D
2013-09-11 11:56:16.366956, slv, 406c8ffffe15d361(unknown)/01,  0.000331903, -6.441725903,  6.442130000, -6.441394000, 0, -8, S
2013-09-11 11:56:16.939907, slv, 406c8ffffe15d361(unknown)/01,  0.000333024, -6.441725903,  6.441975000, -6.441394000, 0, -9, D
2013-09-11 11:56:17.367299, slv, 406c8ffffe15d361(unknown)/01,  0.000333024, -6.441736024,  6.441975000, -6.441403000, 0, -9, S
2013-09-11 11:56:18.065009, slv, 406c8ffffe15d361(unknown)/01,  0.000329771, -6.441736024,  6.442024000, -6.441403000, 0, -10, D
2013-09-11 11:56:18.367975, slv, 406c8ffffe15d361(unknown)/01,  0.000329771, -6.441889771,  6.442024000, -6.441560000, 0, -10, S
2013-09-11 11:56:19.367336, slv, 406c8ffffe15d361(unknown)/01,  0.000329771, -6.441867771,  6.442024000, -6.441538000, 0, -10, S
