ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-26 17:32:17.921936, init, 
2013-09-26 17:32:17.985870, lstn_init,  1 
2013-09-26 17:32:19.568311, slv, 406c8ffffe15d361(unknown)/01,  0.000000000,  0.000000000,  0.000000000,  0.000000000, 0, 0, I
2013-09-26 17:32:20.567617, slv, 406c8ffffe15d361(unknown)/01,  0.000000000,  62.957552000,  0.000000000,  62.957552000, 0, 0, S
2013-09-26 17:32:21.549578, slv, 406c8ffffe15d361(unknown)/01,  0.000192000,  62.957552000, -62.956784000,  62.957552000, 0, -1, D
2013-09-26 17:32:21.568259, slv, 406c8ffffe15d361(unknown)/01,  0.000192000,  62.957367000, -62.956784000,  62.957559000, 0, -1, S
2013-09-26 17:32:22.567995, slv, 406c8ffffe15d361(unknown)/01,  0.000192000,  62.957278000, -62.956784000,  62.957470000, 0, -1, S
2013-09-26 17:32:23.173616, slv, 406c8ffffe15d361(unknown)/01,  0.000288375,  62.957278000, -62.956699000,  62.957470000, 0, -2, D
2013-09-26 17:32:23.567781, slv, 406c8ffffe15d361(unknown)/01,  0.000288375,  62.957230625, -62.956699000,  62.957519000, 0, -2, S
2013-09-26 17:32:24.173455, slv, 406c8ffffe15d361(unknown)/01,  0.000320916,  62.957230625, -62.956746000,  62.957519000, 0, -3, D
2013-09-26 17:32:24.567150, slv, 406c8ffffe15d361(unknown)/01,  0.000320916,  62.957104084, -62.956746000,  62.957425000, 0, -3, S
2013-09-26 17:32:24.673488, slv, 406c8ffffe15d361(unknown)/01,  0.000335124,  62.957104084, -62.956687000,  62.957425000, 0, -4, D
2013-09-26 17:32:25.173209, slv, 406c8ffffe15d361(unknown)/01,  0.000330349,  62.957104084, -62.956918000,  62.957425000, 0, -5, D
2013-09-26 17:32:25.567100, slv, 406c8ffffe15d361(unknown)/01,  0.000330349,  62.957066651, -62.956918000,  62.957397000, 0, -5, S
2013-09-26 17:32:26.299406, slv, 406c8ffffe15d361(unknown)/01,  0.000325748,  62.957066651, -62.956693000,  62.957397000, 0, -6, D
2013-09-26 17:32:26.487085, slv, 406c8ffffe15d361(unknown)/01,  0.000331640,  62.957066651, -62.956633000,  62.957397000, 0, -7, D
2013-09-26 17:32:26.567501, slv, 406c8ffffe15d361(unknown)/01,  0.000331640,  62.956955360, -62.956633000,  62.957287000, 0, -7, S
2013-09-26 17:32:27.299500, slv, 406c8ffffe15d361(unknown)/01,  0.000332966,  62.956955360, -62.956682000,  62.957287000, 0, -8, D
2013-09-26 17:32:27.567110, slv, 406c8ffffe15d361(unknown)/01,  0.000332966,  62.957027034, -62.956682000,  62.957360000, 0, -8, S
2013-09-26 17:32:28.173557, slv, 406c8ffffe15d361(unknown)/01,  0.000333052,  62.957027034, -62.956630000,  62.957360000, 0, -9, D
2013-09-26 17:32:28.568091, slv, 406c8ffffe15d361(unknown)/01,  0.000333052,  62.956902948, -62.956630000,  62.957236000, 0, -9, S
2013-09-26 17:32:29.173600, slv, 406c8ffffe15d361(unknown)/01,  0.000334896,  62.956902948, -62.956560000,  62.957236000, 0, -10, D
2013-09-26 17:32:29.567304, slv, 406c8ffffe15d361(unknown)/01,  0.000334896,  62.956876104, -62.956560000,  62.957211000, 0, -10, S
2013-09-26 17:32:30.299420, slv, 406c8ffffe15d361(unknown)/01,  0.000334722,  62.956876104, -62.956555000,  62.957211000, 0, -11, D
2013-09-26 17:32:30.567512, slv, 406c8ffffe15d361(unknown)/01,  0.000334722,  62.956840278, -62.956555000,  62.957175000, 0, -11, S
2013-09-26 17:32:31.567326, slv, 406c8ffffe15d361(unknown)/01,  0.000334722,  62.956874278, -62.956555000,  62.957209000, 0, -11, S
2013-09-26 17:32:31.736942, slv, 406c8ffffe15d361(unknown)/01,  0.000336057,  62.956874278, -62.956462000,  62.957209000, 0, -12, D
2013-09-26 17:32:32.423719, slv, 406c8ffffe15d361(unknown)/01,  0.000336090,  62.956874278, -62.956610000,  62.957209000, 0, -13, D
2013-09-26 17:32:32.567766, slv, 406c8ffffe15d361(unknown)/01,  0.000336090,  62.956774910, -62.956610000,  62.957111000, 0, -13, S
2013-09-26 17:32:33.567117, slv, 406c8ffffe15d361(unknown)/01,  0.000336090,  62.956757910, -62.956610000,  62.957094000, 0, -13, S
2013-09-26 17:32:34.236991, slv, 406c8ffffe15d361(unknown)/01,  0.000334261,  62.956757910, -62.956451000,  62.957094000, 0, -14, D
2013-09-26 17:32:34.566904, slv, 406c8ffffe15d361(unknown)/01,  0.000334261,  62.956752739, -62.956451000,  62.957087000, 0, -14, S
2013-09-26 17:32:35.567381, slv, 406c8ffffe15d361(unknown)/01,  0.000334261,  62.956739739, -62.956451000,  62.957074000, 0, -14, S
2013-09-26 17:32:36.173393, slv, 406c8ffffe15d361(unknown)/01,  0.000334342,  62.956739739, -62.956375000,  62.957074000, 0, -15, D
2013-09-26 17:32:36.566811, slv, 406c8ffffe15d361(unknown)/01,  0.000334342,  62.956721658, -62.956375000,  62.957056000, 0, -15, S
2013-09-26 17:32:37.111694, slv, 406c8ffffe15d361(unknown)/01,  0.000334585,  62.956721658, -62.956402000,  62.957056000, 0, -16, D
2013-09-26 17:32:37.567005, slv, 406c8ffffe15d361(unknown)/01,  0.000334585,  62.956711415, -62.956402000,  62.957046000, 0, -16, S
